ONS ID,ONS region ID,Constituency name,County name,Region name,Country name,Constituency type,Declaration time,mpFirstName,mpSurname,Member gender,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,PC,DUP,SF,SDLP,UUP,APNI,All other candidates,Of which other winner,ratio800,ratio1000,ratio1200,ratio1500,ratio2000,overlap_800m,overlap_1000m,overlap_1200m,overlap_1500m,overlap_2000m
E14001066,E12000004,Amber Valley,,East Midlands,England,County,,Linsey,Farnsworth,Female,Lab gain from Con,Lab,RUK,71546,42531,105,3554,10725,15746,1590,12192,2278,0,0,0,0,0,0,0,0,0,0.07807944224802452,0.11015438608503622,0.146041860264188,0.21052363645285724,0.34471195828495477,9748422.14435644,13753062.59486664,18233707.408923503,26284425.457193926,43038187.65629756
S14000065,S92000003,Angus and Perthshire Glens,,Scotland,Scotland,County,,Dave,Doogan,Male,SNP hold,SNP,Con,76668,47348,224,4870,14272,6799,3156,3246,0,19142,0,0,0,0,0,0,733,0,0.0023700441530559013,0.003697207247203986,0.005338816275596318,0.008357841037190675,0.014670385046248189,13086498.491939392,20414597.340955593,29478949.17875177,46148876.166732386,81004386.15726028
S14000066,S92000003,Arbroath and Broughty Ferry,,Scotland,Scotland,County,,Stephen,Gethins,Male,SNP hold,SNP,Lab,76149,44117,161,859,6841,14722,2249,3800,0,15581,0,0,0,0,0,0,924,0,0.025256391516137757,0.03557887291119371,0.046922527381092136,0.0649035032162926,0.09928946759015175,10441910.346686026,14709599.387443801,19399478.49795646,26833467.53384558,41049875.16859245
S14000067,S92000003,"Argyll, Bute and South Lochaber",,Scotland,Scotland,County,,Brendan,O'Hara,Male,SNP hold,SNP,Con,71756,44862,216,6232,9350,8585,7359,3045,0,15582,0,0,0,0,0,0,941,0,0.003086063750155673,0.004674806794109758,0.006638207247236304,0.010336069171696575,0.018517601934659848,28123377.21825611,42601632.868596226,60494150.99009888,94192860.48609576,168751376.040005
E14001067,E12000008,Arundel and South Downs,,South East,England,County,,Andrew,Griffith,Male,Con hold,Con,LD,77969,54740,214,12134,22001,9782,9867,7391,5515,0,0,0,0,0,0,0,184,0,0.010588351544225046,0.017070075387674605,0.02519371998799384,0.040293472936779894,0.07095402179415286,8841993.748948451,14254674.03887036,21038469.842654154,33647790.625609316,59251434.42265346
E14001068,E12000004,Ashfield,,East Midlands,England,County,,Lee,Anderson,Male,RUK gain from Con,RUK,Lab,68929,39882,102,5508,3271,11554,619,17062,1100,0,0,0,0,0,0,0,6276,0,0.03988180987061301,0.060171562899470614,0.08494852636174412,0.12955483595484385,0.23126678837006365,3958587.680442379,5972507.4759538965,8431818.691736974,12859350.64673371,22955073.059805878
E14001069,E12000008,Ashford,,South East,England,County,,Sojan,Joseph,Male,Lab gain from Con,Lab,Con,76233,46975,164,1779,13483,15262,2445,10141,4355,0,0,0,0,0,0,0,1289,0,0.024568535943852745,0.03888190051042677,0.05468688530689252,0.08060857561779224,0.1365596961636651,5558670.071536848,8797091.417482715,12372994.196955867,18237817.581798118,30896846.99885673
E14001070,E12000002,Ashton-under-Lyne,,North West,England,Borough,,Angela,Rayner,Female,Lab hold,Lab,RUK,71002,35461,136,6791,4375,15575,1411,8784,2481,0,0,0,0,0,0,0,2835,0,0.24887025301629645,0.3865531228354059,0.5085838716436564,0.638318640130227,0.8368951224041143,7252044.259316208,11264103.770552656,14820062.67134174,18600515.62477344,24387006.46028222
E14001071,E12000008,Aylesbury,,South East,England,County,,Laura,Kyrke-Smith,Female,Lab gain from Con,Lab,Con,79169,49940,213,630,14451,15081,10440,6746,2590,0,0,0,0,0,0,0,632,0,0.023263175554806875,0.037747073099946515,0.056131510398390635,0.08935672655234017,0.16475560711642112,4571719.462027093,7418120.037783357,11031061.426533133,17560538.322892696,32378056.631077375
S14000107,S92000003,"Ayr, Carrick and Cumnock",,Scotland,Scotland,County,,Elaine,Stewart,Female,Lab gain from SNP,Lab,SNP,70340,40936,120,4154,9247,14930,1081,3544,886,10776,0,0,0,0,0,0,472,0,0.0070220656883629076,0.010941980455985824,0.01533058234897099,0.022819019787387693,0.03851007517050037,11436834.589536473,17821197.651915684,24968911.181935288,37165325.18859929,62721338.60631955
